wsg,idlevel,site,sp,genus,latin,genwood,famwood
0.56497,genus,pantree,guatin,Guatteria,Guatteria diospyroides,0.56497,0.564953
0.56497,genus,pantree,guatdo,Guatteria,Guatteria dolichopoda,0.56497,0.564953
0.466,species,pantree,guatdu,Guatteria,Guatteria dumetorum,0.56497,0.564953
0.56497,genus,pantree,guatje,Guatteria,Guatteria jefensis,0.56497,0.564953
0.56497,genus,pantree,guatre,Guatteria,Guatteria recurvisepala,0.56497,0.564953
0.56497,genus,pantree,guatse,Guatteria,Guatteria sessilicarpa,0.56497,0.564953
0.56497,genus,pantree,guat5,Guatteria,Guatteria sp.5,0.56497,0.564953
0.56497,genus,pantree,guat7,Guatteria,Guatteria sp.7,0.56497,0.564953
0.522209,species,pantree,guazul,Guazuma,Guazuma ulmifolia,0.532829,0.475382
0.725165,genus,pantree,guetcr,Guettarda,Guettarda crispiflora,0.725165,0.635113
0.725165,genus,pantree,guetfo,Guettarda,Guettarda foliacea,0.725165,0.635113
0.725165,genus,pantree,guetod,Guettarda,Guettarda odorata,0.725165,0.635113
0.725165,genus,pantree,guetra,Guettarda,Guettarda ramuliflora,0.725165,0.635113
0.641417,genus,pantree,gustdu,Gustavia,Gustavia dubia,0.641417,0.696332
0.641417,genus,pantree,gustfo,Gustavia,Gustavia fosteri,0.641417,0.696332
0.716,species,pantree,gusthe,Gustavia,Gustavia hexapetala,0.641417,0.696332
0.641417,genus,pantree,gustna,Gustavia,Gustavia nana,0.641417,0.696332
0.641417,genus,pantree,gust1,Gustavia,Gustavia sp.1,0.641417,0.696332
0.58,species,pantree,gustsu,Gustavia,Gustavia superba,0.641417,0.696332
0.37,genus,pantree,gyrada,Gyranthera,Gyranthera darienensis,0.37,0.475382
0.6175,species,pantree,hameax,Hamelia,Hamelia axillaris,0.626833,0.635113
0.763,species,pantree,hamepa,Hamelia,Hamelia patens,0.626833,0.635113
0.245,species,pantree,hampap,Hampea,Hampea appendiculata,0.3175,0.475382
0.3175,genus,pantree,hampmi,Hampea,Hampea micrantha,0.3175,0.475382
0.53,species,pantree,hassfl,Hasseltia,Hasseltia floribunda,0.53,0.56611
0.45,genus,pantree,hedybo,Hedyosmum,Hedyosmum bonplandianum,0.45,0.45
0.45,genus,pantree,hedysc,Hedyosmum,Hedyosmum scaberrimum,0.45,0.45
0.69625,genus,pantree,heisac,Heisteria,Heisteria acuminata,0.69625,0.756
0.64,species,pantree,heisco,Heisteria,Heisteria concinna,0.69625,0.756
0.69625,genus,pantree,heisc1,Heisteria,Heisteria costaricensis,0.69625,0.756
0.643,genus,pantree,hel1to,Helicostylis,Helicostylis tovarensis,0.643,0.539787
0.499,genus,pantree,hel2gu,Helicteres,Helicteres guazumifolia,0.499,0.475382
0.475382,family,pantree,heliam,Heliocarpus,Heliocarpus americanus,NA,0.475382
0.619966,genus,pantree,henrsu,Henriettea,Henriettea succosa,0.619966,0.668236
0.48,genus,pantree,henrfa,Henriettella,Henriettella fascicularis,0.48,0.668236
0.48,genus,pantree,henrtr,Henriettella,Henriettella trachyphylla,0.48,0.668236
0.47,species,pantree,henrtu,Henriettella,Henriettella tuberculosa,0.48,0.668236
0.2795,species,pantree,herndi,Hernandia,Hernandia didymantha,0.295727,0.284467
0.295727,genus,pantree,hernst,Hernandia,Hernandia stenura,0.295727,0.284467
0.475382,family,pantree,herrny,Herrania,Herrania nycterodendron,NA,0.475382
0.475382,family,pantree,herrpu,Herrania,Herrania purpurea,NA,0.475382
0.466625,species,pantree,hevebr,Hevea,Hevea brasiliensis,0.504136,0.509083
0.509083,family,pantree,hyeral,Hieronyma,Hieronyma alchorneoides,NA,0.509083
0.509083,family,pantree,hyerob,Hieronyma,Hieronyma oblonga,NA,0.509083
0.509083,family,pantree,hippma,Hippomane,Hippomane mancinella,NA,0.509083
0.635113,family,pantree,hip1pa,Hippotis,Hippotis panamensis,NA,0.635113
0.781668,genus,pantree,hirtam,Hirtella,Hirtella americana,0.781668,0.78005
0.781668,genus,pantree,hirtgu,Hirtella,Hirtella guatemalensis,0.781668,0.78005
0.781668,genus,pantree,hirtla,Hirtella,Hirtella latifolia,0.781668,0.78005
0.75425,species,pantree,hirtra,Hirtella,Hirtella racemosa,0.781668,0.78005
0.781668,genus,pantree,hirt5,Hirtella,Hirtella sp.5,0.781668,0.78005
0.68275,species,pantree,hirttr,Hirtella,Hirtella triandra,0.781668,0.78005
0.781668,genus,pantree,hirttu,Hirtella,Hirtella tubiflora,0.781668,0.78005
0.793889,species,pantree,homara,Homalium,Homalium racemosum,0.71081,0.56611
0.901333,genus,pantree,hortco,Hortia,Hortia colombiana,0.901333,0.639063
0.667636,genus,pantree,humidi,Humiriastrum,Humiriastrum diguense,0.667636,0.771515
0.367333,species,pantree,huracr,Hura,Hura crepitans,0.368125,0.509083
0.67,genus,pantree,hybade,Hybanthus,Hybanthus denticulatus,0.67,0.648654
0.67,species,pantree,hybapr,Hybanthus,Hybanthus prunifolius,0.67,0.648654
0.791048,species,pantree,hymeco,Hymenaea,Hymenaea courbaril,0.792775,0.678168
0.647118,family,pantree,hymepi,Hymenandra,Hymenandra pittieri,NA,0.647118
0.652778,genus,pantree,hym1me,Hymenolobium,Hymenolobium mesoamericanum,0.652778,0.678168
0.545,family,pantree,hypeto,Hyperbaena,Hyperbaena tonduzii,NA,0.545
0.563969,genus,pantree,ilexgu,Ilex,Ilex guianensis,0.563969,0.563969
0.5125,species,pantree,ingaac,Inga,Inga acrocephala,0.580505,0.678168
0.580505,genus,pantree,ingas1,Inga,Inga acuminata,0.580505,0.678168
0.586111,species,pantree,ingaal,Inga,Inga alba,0.580505,0.678168
0.580505,genus,pantree,ingabe,Inga,Inga bella,0.580505,0.678168
0.592333,species,pantree,ingaca,Inga,Inga capitata,0.580505,0.678168
0.580505,genus,pantree,ingach,Inga,Inga chocoensis,0.580505,0.678168
0.580505,genus,pantree,ingaci,Inga,Inga ciliata,0.580505,0.678168
0.580505,genus,pantree,ingaco,Inga,Inga cocleensis,0.580505,0.678168
0.580505,genus,pantree,ingadw,Inga,Inga dwyeri,0.580505,0.678168
0.5874,species,pantree,ingaed,Inga,Inga edulis,0.580505,0.678168
0.580505,genus,pantree,ingafi,Inga,Inga filiformis,0.580505,0.678168
0.580505,genus,pantree,ingago,Inga,Inga goldmanii,0.580505,0.678168
0.580505,genus,pantree,ingaje,Inga,Inga jefensis,0.580505,0.678168
0.653333,species,pantree,ingafa,Inga,Inga laurina,0.580505,0.678168
0.56,species,pantree,ingale,Inga,Inga leiocalycina,0.580505,0.678168
0.5518,species,pantree,ingama,Inga,Inga marginata,0.580505,0.678168
0.580505,genus,pantree,ingamo,Inga,Inga mortoniana,0.580505,0.678168
0.580505,genus,pantree,ingam1,Inga,Inga mucuna,0.580505,0.678168
0.580505,genus,pantree,ingam2,Inga,Inga multijuga,0.580505,0.678168
0.56,species,pantree,ingaqu,Inga,Inga nobilis,0.580505,0.678168
0.425,species,pantree,ingami,Inga,Inga oerstediana,0.580505,0.678168
0.580505,genus,pantree,ingapa,Inga,Inga pauciflora,0.580505,0.678168
0.6065,species,pantree,ingape,Inga,Inga pezizifera,0.580505,0.678168
0.580505,genus,pantree,ingap1,Inga,Inga polita,0.580505,0.678168
0.580505,genus,pantree,ingapo,Inga,Inga portobellensis,0.580505,0.678168
0.56,species,pantree,ingapu,Inga,Inga punctata,0.580505,0.678168
0.580505,genus,pantree,ingaru,Inga,Inga ruiziana,0.580505,0.678168
0.580505,genus,pantree,ingasa,Inga,Inga sapindoides,0.580505,0.678168
0.65,species,pantree,ingase,Inga,Inga sertulifera,0.580505,0.678168
0.580505,genus,pantree,ingasi,Inga,Inga sierrae,0.580505,0.678168
0.580505,genus,pantree,inga11,Inga,Inga sp.11,0.580505,0.678168
0.580505,genus,pantree,inga15,Inga,Inga sp.15,0.580505,0.678168
0.580505,genus,pantree,inga18,Inga,Inga sp.18,0.580505,0.678168
0.580505,genus,pantree,inga24,Inga,Inga sp.24,0.580505,0.678168
0.580505,genus,pantree,inga31,Inga,Inga sp.31,0.580505,0.678168
0.580505,genus,pantree,inga32,Inga,Inga sp.32,0.580505,0.678168
0.580505,genus,pantree,inga6,Inga,Inga sp.6,0.580505,0.678168
0.580505,genus,pantree,inga7,Inga,Inga sp.7,0.580505,0.678168
0.580505,genus,pantree,inga8,Inga,Inga sp.8,0.580505,0.678168
0.580505,genus,pantree,ingasp,Inga,Inga spectabilis,0.580505,0.678168
0.580505,genus,pantree,ingath,Inga,Inga thibaudiana,0.580505,0.678168
0.724,species,pantree,ingaum,Inga,Inga umbellifera,0.580505,0.678168
0.580505,genus,pantree,ingaur,Inga,Inga urceolata,0.580505,0.678168
0.580505,genus,pantree,ingav1,Inga,Inga venusta,0.580505,0.678168
0.58,species,pantree,ingave,Inga,Inga vera,0.580505,0.678168
0.267,species,pantree,iriade,Iriartea,Iriartea deltoidea,0.267,0.568511
0.633333,species,pantree,iryaju,Iryanthera,Iryanthera juruensis,0.597423,0.505312
0.635113,family,pantree,iserha,Isertia,Isertia haenkeana,NA,0.635113
0.635113,family,pantree,iserla,Isertia,Isertia laevis,NA,0.635113
0.775,genus,pantree,ixorfl,Ixora,Ixora floribunda,0.775,0.635113
0.413321,genus,pantree,jac1ca,Jacaranda,Jacaranda caucana,0.413321,0.618486
0.350667,species,pantree,jac1co,Jacaranda,Jacaranda copaia,0.413321,0.618486
0.265,genus,pantree,jac2co,Jacaratia,Jacaratia costaricensis,0.265,0.22625
0.265,genus,pantree,jac2sp,Jacaratia,Jacaratia spinosa,0.265,0.22625
0.509083,family,pantree,jatrcu,Jatropha,Jatropha curcas,NA,0.509083
0.509083,family,pantree,jatrgo,Jatropha,Jatropha gossypiifolia,NA,0.509083
0.564953,family,pantree,creman,Klarobelia,Klarobelia anomala,NA,0.564953
0.668,genus,pantree,koanwe,Koanophyllon,Koanophyllon wetmorei,0.668,0.630596
0.5055,species,pantree,laciag,Lacistema,Lacistema aggregatum,0.509333,0.509333
0.4715,species,pantree,lacmpa,Lacmellea,Lacmellea panamensis,0.5048,0.566004
0.5048,genus,pantree,lacmsp,Lacmellea,Lacmellea speciosa,0.5048,0.566004
0.49,genus,pantree,ladebr,Ladenbergia,Ladenbergia brenesii,0.49,0.635113
0.49,genus,pantree,ladema,Ladenbergia,Ladenbergia macrocarpa,0.49,0.635113
0.647255,species,pantree,laetpr,Laetia,Laetia procera,0.639988,0.56611
0.66,species,pantree,laetth,Laetia,Laetia thamnia,0.639988,0.56611
0.705,species,pantree,lafopu,Lafoensia,Lafoensia punicifolia,0.7925,0.584548
0.596905,genus,pantree,lagesp,Lagerstroemia,Lagerstroemia speciosa,0.596905,0.584548
0.600332,family,pantree,lagura,Laguncularia,Laguncularia racemosa,NA,0.600332
0.620324,family,pantree,lantca,Lantana,Lantana camara,NA,0.620324
0.566004,family,pantree,laxote,Laxoplumeria,Laxoplumeria tessmannii,NA,0.566004
0.668236,family,pantree,lean1,Leandra,Leandra roja,NA,0.668236
0.668236,family,pantree,leandi,Leandra,Leandra dichotoma,NA,0.668236
0.668236,family,pantree,leangr,Leandra,Leandra granatensis,NA,0.668236
0.75,species,pantree,lecyam,Lecythis,Lecythis ampla,0.818491,0.696332
0.678168,family,pantree,lennvi,Lennea,Lennea viridiflora,NA,0.678168
0.6,species,pantree,leongl,Leonia,Leonia glycycarpa,0.616667,0.648654
0.809515,genus,pantree,licaaf,Licania,Licania affinis,0.809515,0.78005
0.6275,species,pantree,licaar,Licania,Licania arborea,0.809515,0.78005
0.809515,genus,pantree,licacr,Licania,Licania cruegeriana,0.809515,0.78005
0.809515,genus,pantree,licafa,Licania,Licania fasciculata,0.809515,0.78005
0.9088,species,pantree,licahy,Licania,Licania hypoleuca,0.809515,0.78005
0.809515,genus,pantree,licaka,Licania,Licania kallunkii,0.809515,0.78005
0.809515,genus,pantree,licama,Licania,Licania macrocarpa,0.809515,0.78005
0.809515,genus,pantree,licamo,Licania,Licania morii,0.809515,0.78005
0.62,species,pantree,licapl,Licania,Licania platypus,0.809515,0.78005
0.809515,genus,pantree,lica1,Licania,Licania sp.1,0.809515,0.78005
0.809515,genus,pantree,lica3,Licania,Licania sp.3,0.809515,0.78005
0.808783,genus,pantree,lic1ex,Licaria,Licaria excelsa,0.808783,0.558537
0.7475,species,pantree,lic1gu,Licaria,Licaria guianensis,0.808783,0.558537
0.808783,genus,pantree,lic1mi,Licaria,Licaria misantlae,0.808783,0.558537
0.808783,genus,pantree,lic12,Licaria,Licaria sp.2,0.808783,0.558537
0.56,genus,pantree,lindla,Lindackeria,Lindackeria laurina,0.56,0.605289
0.740872,genus,pantree,loncat,Lonchocarpus,Lonchocarpus atropurpureus,0.740872,0.678168
0.740872,genus,pantree,loncfe,Lonchocarpus,Lonchocarpus ferrugineus,0.740872,0.678168
0.68675,species,pantree,loncla,Lonchocarpus,Lonchocarpus heptaphyllus,0.740872,0.678168
0.740872,genus,pantree,loncol,Lonchocarpus,Lonchocarpus oliganthus,0.740872,0.678168
0.740872,genus,pantree,loncse,Lonchocarpus,Lonchocarpus sericeus,0.740872,0.678168
0.740872,genus,pantree,loncve,Lonchocarpus,Lonchocarpus velutinus,0.740872,0.678168
0.509333,family,pantree,lozapi,Lozania,Lozania pittieri,NA,0.509333
0.417,species,pantree,luehse,Luehea,Luehea seemannii,0.5514,0.475382
0.44,species,pantree,luehsp,Luehea,Luehea speciosa,0.5514,0.475382
0.6075,genus,pantree,lunapi,Lunania,Lunania mexicana,0.6075,0.56611
0.635,species,pantree,lunapa,Lunania,Lunania parviflora,0.6075,0.56611
0.44,genus,pantree,lycima,Lycianthes,Lycianthes maxonii,0.44,0.516194
0.615727,genus,pantree,mabeoc,Mabea,Mabea occidentalis,0.615727,0.509083
0.804767,genus,pantree,machbi,Machaerium,Machaerium biovulatum,0.804767,0.678168
0.791562,species,pantree,maclti,Maclura,Maclura tinctoria,0.784043,0.539787
0.414333,genus,pantree,macosp,Macoubea,Macoubea mesoamericana,0.414333,0.566004
0.45,species,pantree,macrgl,Macrocnemum,Macrocnemum roseum,0.45,0.635113
0.6025,genus,pantree,mac1co,Macrolobium,Macrolobium costaricense,0.6025,0.678168
0.6025,genus,pantree,mac1pi,Macrolobium,Macrolobium pittieri,0.6025,0.678168
0.6025,genus,pantree,mac11,Macrolobium,Macrolobium sp.1,0.6025,0.678168
0.564953,family,pantree,malmdi,Malmea,Malmea dimera,NA,0.564953
0.526667,genus,pantree,malois,Malouetia,Malouetia isthmica,0.526667,0.566004
0.569233,genus,pantree,malpal,Malpighia,Malpighia albiflora,0.569233,0.63709
0.569233,genus,pantree,malpro,Malpighia,Malpighia romeroana,0.569233,0.63709
0.681792,genus,pantree,mammim,Mammea,Mammea immansueta,0.681792,0.655327
0.555828,species,pantree,mangin,Mangifera,Mangifera indica,0.512897,0.557831
0.509083,family,pantree,man1es,Manihot,Manihot esculenta,NA,0.509083
0.872014,species,pantree,manibi,Manilkara,Manilkara bidentata,0.887636,0.703375
0.887636,genus,pantree,manich,Manilkara,Manilkara chicle,0.887636,0.703375
0.887636,genus,pantree,mani1,Manilkara,Manilkara sp.1,0.887636,0.703375
0.887636,genus,pantree,mani2,Manilkara,Manilkara sp.2,0.887636,0.703375
0.81,species,pantree,maniza,Manilkara,Manilkara zapota,0.887636,0.703375
0.588,species,pantree,maprgu,Maprounea,Maprounea guianensis,0.588,0.509083
0.766,species,pantree,maquco,Maquira,Maquira guianensis,0.5635,0.539787
0.817294,genus,pantree,marapa,Maranthes,Maranthes panamensis,0.817294,0.78005
0.59636,species,pantree,margno,Margaritaria,Margaritaria nobilis,0.6376,0.610198
0.655327,family,pantree,mar1do,Marila,Marila domingensis,NA,0.655327
0.655327,family,pantree,mar1l1,Marila,Marila lactogena,NA,0.655327
0.655327,family,pantree,mar1la,Marila,Marila laxiflora,NA,0.655327
0.655327,family,pantree,mar1pl,Marila,Marila pluricostata,NA,0.655327
0.743,genus,pantree,mataap,Matayba,Matayba apetala,0.743,0.693076
0.743,genus,pantree,matagl,Matayba,Matayba glaberrima,0.743,0.693076
0.743,genus,pantree,matasc,Matayba,Matayba scrobiculata,0.743,0.693076
0.743,genus,pantree,mata1,Matayba,Matayba sp.1,0.743,0.693076
0.484778,genus,pantree,matibr,Matisia,Matisia bracteolosa,0.484778,0.475382
0.484778,genus,pantree,matiex,Matisia,Matisia exalata,0.484778,0.475382
0.484778,genus,pantree,matije,Matisia,Matisia jefensis,0.484778,0.475382
0.484778,genus,pantree,quarob,Matisia,Matisia obliquifolia,0.484778,0.475382
0.484778,genus,pantree,matisa,Matisia,Matisia sanblasensis,0.484778,0.475382
0.605289,family,pantree,mayngr,Mayna,Mayna grandifolia,NA,0.605289
0.605289,family,pantree,maynod,Mayna,Mayna odorata,NA,0.605289
0.709996,genus,pantree,maytsc,Maytenus,Maytenus schippii,0.709996,0.661201
0.709996,genus,pantree,mayt1,Maytenus,Maytenus sp.1,0.709996,0.661201
0.98,genus,pantree,mel2bi,Melicoccus,Melicoccus bijugatus,0.98,0.693076
0.502842,genus,pantree,meligl,Meliosma,Meliosma glabrata,0.502842,0.502842
0.502842,genus,pantree,meligr,Meliosma,Meliosma grandiflora,0.502842,0.502842
0.502842,genus,pantree,meliid,Meliosma,Meliosma idiopoda,0.502842,0.502842
0.502842,genus,pantree,melioc,Meliosma,Meliosma occidentalis,0.502842,0.502842
0.618877,genus,pantree,micoaf,Miconia,Miconia affinis,0.618877,0.668236
0.589,species,pantree,micoar,Miconia,Miconia argentea,0.618877,0.668236
0.618877,genus,pantree,micoce,Miconia,Miconia centronioides,0.618877,0.668236
0.618877,genus,pantree,micoc1,Miconia,Miconia centrosperma,0.618877,0.668236
0.618877,genus,pantree,micoch,Miconia,Miconia chrysophylla,0.618877,0.668236
0.618877,genus,pantree,micod1,Miconia,Miconia dodecandra,0.618877,0.668236
0.618877,genus,pantree,micod2,Miconia,Miconia donaeana,0.618877,0.668236
0.618877,genus,pantree,micodo,Miconia,Miconia dorsiloba,0.618877,0.668236
0.47,species,pantree,micoel,Miconia,Miconia elata,0.618877,0.668236
0.618877,genus,pantree,micoho,Miconia,Miconia hondurensis,0.618877,0.668236
0.747025,species,pantree,micoim,Miconia,Miconia impetiolaris,0.618877,0.668236
0.618877,genus,pantree,micola,Miconia,Miconia lacera,0.618877,0.668236
0.618877,genus,pantree,micoli,Miconia,Miconia ligulata,0.618877,0.668236
0.618877,genus,pantree,micobo,Miconia,Miconia minutiflora,0.618877,0.668236
0.618877,genus,pantree,micomu,Miconia,Miconia multispicata,0.618877,0.668236
0.618877,genus,pantree,micone,Miconia,Miconia nervosa,0.618877,0.668236
0.618877,genus,pantree,micooi,Miconia,Miconia oinochrophylla,0.618877,0.668236
0.618877,genus,pantree,micopi,Miconia,Miconia pileata,0.618877,0.668236
0.596667,species,pantree,micopo,Miconia,Miconia poeppigii,0.618877,0.668236
0.688234,species,pantree,micopr,Miconia,Miconia prasina,0.618877,0.668236
0.618877,genus,pantree,micopu,Miconia,Miconia punctata,0.618877,0.668236
0.62,species,pantree,micore,Miconia,Miconia reducens,0.618877,0.668236
0.618877,genus,pantree,micoru,Miconia,Miconia rubiginosa,0.618877,0.668236
0.618877,genus,pantree,micose,Miconia,Miconia serrulata,0.618877,0.668236
0.618877,genus,pantree,micosi,Miconia,Miconia simplex,0.618877,0.668236
0.618877,genus,pantree,mico10,Miconia,Miconia sp.10,0.618877,0.668236
0.618877,genus,pantree,mico14,Miconia,Miconia sp.14,0.618877,0.668236
0.618877,genus,pantree,mico3,Miconia,Miconia sp.3,0.618877,0.668236
0.618877,genus,pantree,mico5,Miconia,Miconia sp.5,0.618877,0.668236
0.618877,genus,pantree,mico9,Miconia,Miconia sp.9,0.618877,0.668236
0.618877,genus,pantree,micost,Miconia,Miconia stenostachya,0.618877,0.668236
0.62,species,pantree,micotr,Miconia,Miconia trinervia,0.618877,0.668236
0.618877,genus,pantree,micoum,Miconia,Miconia umbriensis,0.618877,0.668236
0.657273,species,pantree,micrgu,Micropholis,Micropholis guyanensis,0.653069,0.703375
0.53,species,pantree,micrme,Micropholis,Micropholis melinoniana,0.653069,0.703375
0.67,species,pantree,micrve,Micropholis,Micropholis venulosa,0.653069,0.703375
0.8235,genus,pantree,mimote,Mimosa,Mimosa tenuiflora,0.8235,0.678168
0.703375,family,pantree,mimuel,Mimusops,Mimusops elengi,NA,0.703375
0.786714,species,pantree,minqgu,Minquartia,Minquartia guianensis,0.786714,0.757515
0.588474,family,pantree,mollda,Mollinedia,Mollinedia darienensis,NA,0.588474
0.588474,family,pantree,mollpi,Mollinedia,Mollinedia pinchotiana,NA,0.588474
0.583,family,pantree,myr1me,Morella,Morella cerifera,NA,0.583
0.558,genus,pantree,morici,Morinda,Morinda citrifolia,0.558,0.635113
0.558,genus,pantree,moripa,Morinda,Morinda panamensis,0.558,0.635113
0.51,genus,pantree,mortan,Mortoniodendron,Mortoniodendron anisophyllum,0.51,0.475382
0.51,genus,pantree,mort1,Mortoniodendron,Mortoniodendron sp.1,0.51,0.475382
0.564953,family,pantree,malmsp,Mosannona,Mosannona garwoodii,NA,0.564953
0.557831,family,pantree,mosqja,Mosquitoxylum,Mosquitoxylum jamaicense,NA,0.557831
0.833636,genus,pantree,mourgl,Mouriri,Mouriri gleasoniana,0.833636,0.668236
0.833636,genus,pantree,mourmy,Mouriri,Mouriri myrtilloides,0.833636,0.668236
0.833636,genus,pantree,mourpa,Mouriri,Mouriri panamensis,0.833636,0.668236
0.475382,family,pantree,muntca,Muntingia,Muntingia calabura,NA,0.475382
